id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Sonata,Aurora Strings,classical,dreamy,0.30,65,0.68,0.25,0.94
12,Green Valley,River & Root,folk,nostalgic,0.48,84,0.72,0.39,0.78
13,Bassline Bounce,Neon Pulse,hip hop,energetic,0.88,102,0.80,0.85,0.12
14,Safari Whisper,Sahara Circle,world,adventurous,0.55,98,0.62,0.53,0.47
15,Thunder Road,Iron Veil,metal,fiery,0.96,140,0.18,0.34,0.04
16,Velvet Nights,Luna Soul,R&B,soulful,0.67,92,0.79,0.70,0.22
17,Sunset Carnival,Juno Groove,reggaeton,playful,0.82,108,0.86,0.91,0.14
18,Meadow Song,Willow Lane,country,peaceful,0.39,76,0.66,0.45,0.85
